name,price,Aturan Pakai,uses,Dosis,Efek Samping,Golongan Produk,Indikasi Umum,Kemasan,Komposisi,Kontra Indikasi,Manufaktur,No. Registrasi,Perhatian
Aqua Maris Strong Nasal Spray 30 ml,Rp122.000 - Rp123.000,Semprotkan ke dalam masing-masing lubang hidung,"AQUA MARIS STRONG NASAL SPRAY, mengandung air laut hipertonis murni dengan mineral dan unsur alam dari air laut Adriatik dan tanpa bahan pengawet. Dapat melegakan membran mukosa disaluran pernapasan atas. Produk ini melegakan saluran hidung selama pilek, alergi, flu, dan setelah operasi.",Semprotkan ke dalam lubang hidung sebanyak 3-4 kali sehari. Cocok untuk digunakan anak usia diatas 8 tahun dan dewasa.,,Alat Kesehatan & Medis Habis Pakai,Melegakan hidung tersumbat & membersihkan saluran hidung harian untuk mengatasi kekeringan pada hidung.,"Dus, Botol @ 30 ml",Mengandung air laut hipertonis murni 100%,,Soho Industri Pharmasi,Kemenkes RI: AKL20704611474,
Susu Steril Tujuh Kurma 200 ml,Rp11.200 - Rp11.900,,"Susu Steril Tujuh Kurma Susu dibuat dari susu sapi berkualitas dengan rasa buah kurma, proses highenies dan sterilisasi untuk memastikan kualitas susu tetap terjaga baik dan dipadukan dengan Buah Kurma Pilihan yang penuh manfaat bagi Anda dan Keluarga.",,,Produk Konsumen,,Botol @ 200 ml,,,Mayora Indah Tbk,BPOM: MD500310023036,
Termofen Sirup 60 ml,Rp35.600,Sesudah makan,"TERMOFEN SIRUP mengandung Ibuprofen 100 mg. Ibuprofen merupakan obat yang memiliki sifat analgesik, anti-inflamasi dan antipiretik. Obat ini dapat digunakan untuk Nyeri ringan sampai sedang antara lain nyeri pada penyakit gigi atau pencabutan gigi, nyeri pasca bedah, sakit kepala, gejala artritis reumatoid, gejala osteoartritis, gejala juvenile artritis reumatoid, menurunkan demam pada anak.","Dewasa : 3-4 kali sehari 10 ml Anak-anak 1-2 tahun : 3-4 kali sehari 2,5 ml. Anak-anak 3-7 tahun : 3-4 kali sehari 5 ml. Anak-anak 8 - 12 tahun : 3 - 4 kali sehari 10 ml.","Reaksi anafilaktoid, risiko hiperkalemia, edema, hipertensi, kelainan fungsi hati, anemia, penglihatan kabur, skotoma, perubahan penglihatan warna. Jarang, diskrasia darah berat (misalnya agranulositosis, trombositopenia, anemia aplastik).",Obat Bebas Terbatas (Biru),Menurunkan demam pada anak-anak,,,,,,
Kandistatin Drops 12 ml,Rp48.700 - Rp63.600,"Sebelum atau sesudah makan, kocok/kumur dan ditahan di dalam mulut selama mungkin sebelum ditelan","KANDISTATIN DROPS adalah obat anti jamur yang mengandung nystatin untuk mengobati kandidiasis pada rongga mulut. Nystatin dapat bersifat fungistatik dan fungisidal terhadap beberapa jenis jamur seperti Candida albicans, C. parapsilosis, C. tropicalis, C. guilermondi, C. pseudotropicalis, C. krusei. Nystatin bekerja dengan cara mengikat sterol dalam membran sel jamur yang peka terhadap obat ini sehingga terjadi perubahan permeabilitas membran dan terjadi kebocoran komponen intrasel yang menyebabkan kematian jamur. Dalam menggunakan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Bayi: Dosis yang direkomendasikan 1 � 2 ml 4 kali sehari. Pada bayi prematur, bayi bobot lahir rendah dosis. Dapat diberikan 1 ml 4 kali sehari. Anak-anak dan Dewasa dosis: 1 � 6 ml 4 kali sehari.","Secara umum nystatin dapat ditoleransi oleh semua umur termasuk bayi baru lahir, walaupun diberikan dalam jangka waktu panjang. Pemberian dosis yang tinggi dapat menyebabkan diare, gangguan pencernaan, mual, dan muntah. Kemerahan termasuk urticaria dilaporkan jarang terjadi syndrom Stevens-Johnson.",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Terapi kandidiasis pada rongga mulut, kerongkongan & saluran cerna.","Dus, Botol @ 12 ml",Tiap 1 ml suspensi mengandung: Nystatin 100.000 IU,Hipersensitivitas.,Metiska Farma,BPOM: DKL9016105033A1,HARUS DENGAN RESEP DOKTER. Tidak boleh digunakan untuk terapi mikosis sistemik. Hentikan terapi jika timbul iritasi atau sensitiasi. Hamil dan laktasi
Pien Tze Huang Zhang Zhou 3 g Tablet,Rp1.939.600 - Rp2.248.400,Sesudah makan.,"PIEN TZE HUANG ZHANG ZHOU TABLET merupakan obat herbal yang digunakan untuk membantu memelihara kesehatan fungsi hati, secara tradisional membantu sirkulasi darah, membantu meredakan demam dan membantu memelihara kesehatan kulit",Umur 1-8 tahun : 3 x sehari 0.15 - 0.3 gram. Umur >8 tahun keatas: 3 x sehari 0.3 - 0.6 gram.,,Herbal,"Membantu memelihara kesehatan fungsi hati, secara tradisional membantu sirkulasi darah, membantu meredakan demam dan membantu memelihara kesehatan kulit",Dus @ 3 gram,"Musk, Notoginseng Radix, Cow Bezoar, Snake Gail",,Saras Subur Abadi,BPOM: TI164250351,"Dilarang untuk wanita hamil. Bila setelah penggunaan selama 3 hari demam tidak menurun, segera hubungi dokter atau unit pelayanan kesehatan. Obat penurun demam hanya mengurangi gejala penyakit, tetapi tidak menghilangkan penyebab penyakit."
Sangobion 4 Kapsul,Rp6.600 - Rp12.700,Dikonsumsi pada waktu makan atau sesudah makan,"SANGOBION adalah vitamin dan zat besi penambah darah dengan kandungan Ferrous gluconate, manganese sulfate, copper Sulfate, vitamin C, folic acid, vitamin B12. Kandungan pada produk ini membantu proses pembentukan hemoglobin ditubuh sehingga dapat membantu mengatasi anemia saat menstruasi, hamil, menyusui, masa pertumbuhan, dan setelah mengalami pendarahan.","1 Kapsul, diminum 1 kali per hari.",Gangguan gastro intestinal atau saluran pencernaan dan tinja berwarna gelap.,Obat Bebas (Hijau),Anemia karena kekurangan zat besi dan mineral lain yang membantu pembentukan darah.,"Dus, 10 Strip @ 4 Kapsul","Fe gluconate 250 mg (setara elemental Fe 30 mg), Manganese Sulfate 0.2 mg, Copper Sulfate 0.2 mg, vit.C 50 mg, Folic Acid 1 mg, vit.B12 7.5 mcg","Hemokromatosis primer, penderita yang mendapat transfusi darah berulang, tukak lambung aktif.",Merck Indonesia,BPOM: DBL8815801601A1,Penggunaan zat besi bersama makanan akan mengurangi absorpsi atau penyerapan zat besi tetapi dapat mengurangi terjadinya iritasi lambung.
Carsida 10 Tablet,Rp3.500 - Rp9.400,diminum diantara waktu makan dan menjelang tidur,"CARSIDA TABLET merupakan obat yang digunakan untuk membantu mengatasi gangguan pada saluran pencernaan seperti gastritis, perut kembung, maag, dispepsia, hiatus hernia, tukak lambung dan usus duabelas jari.",1-2 tablet kunyah,"diare, konstipasi, mual, muntah",Obat Bebas (Hijau),"mengatasi hiperasiditas lambung pada tukak lambung dan duodenum, gastritis, heart burn, esofagitis peptik dan meredakan kembung.",1 Dos isi 10 Strip x 10 Tablet,"Aluminium Hydroxide Gel 250mg, magnesium hydroxide 250 mg, simetikon 50 mg","Gangguan fungsi ginjal berat, reaksi hipersensitif",Sampharindo Perdana,BPOM: DBL9423403863A1,Gangguan fungsi ginjal dan diet rendah fosfat.
Viagra 100 mg 1 Tablet,Rp196.100 - Rp237.900,"Dikonsumsi satu jam sebelum melakukan aktivitas seksual, dapat disesuaikan dengan kebutuhan.","VIAGRA merupakan obat yang digunakan untuk mengobati gangguan fungsi seksual pada pria, yaitu disfungsi ereksi. Obat ini bekerja dengan cara meningkatkan aliran darah ke alat kelamin pria sehingga dapat mempertahankan ereksi saat berhubungan seksual. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa : 50 mg diberikan sesuai kebutuhan 1 jam sebelum aktivitas seksual, dapat disesuaikan dengan kebutuhan. Maksimal 100 mg/hari","Sakit kepala, rasa panas dan kemerahan pada kulit wajah, dispepsia, hidung tersumbat, gangguan penglihatan, diare, pusing, ruam kulit, ISK.",Obat Keras (Merah),INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Terapi disfungsi ereksi pada pria dewasa,"Dus, 1 Blister @ 4 Tablet Salut Selaput",Sildenafil citrate 100 mg,Pasien yang menggunakan nitrat organik intermiten dan atau regular.,Pfizer,BPOM: DKI1690401417B1,"HARUS DENGAN RESEP DOKTER. Pasien pria yang tidak dianjurkan melakukan aktivitas seksual karena adanya penyakit KV. Pasien infark miokard, stroke, aritmia yang mengancam nyawa dalam 6 bulan terakhir. Hipertensi (TD>170/110) atau hipotensi (TD<90/50) saat istirahat."
Licogenta 1 mg/g Cream 5 g,Rp5.300 - Rp8.300,Dioleskan pada area kulit yang sakit atau terinfeksi,"Licogenta mengandung Gentamicin sulfate. Licogenta digunakan untuk mengobati infeksi kulit primer, folikulitis superfisial. Infeksi kulit sekunder, seperti jerawat, ekskoriasi dan peradangan kulit yang disertai dengan infeksi. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER.",PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. 3-4 x sehari,"Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Rasa terbakar, gatal-gatal, kulit kering, stria, dan atrofi kulit.",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Infeksi kulit primer maupun sekunder seperti impetigo kontagiosa, falikulitis superfisialis, furunkulosis, dermatitis yang terinfeksi, akne pustularis, luka bakar terinfeksi","Dus, 1 Tube @ 5 g",Gentamicin sulphate,"Infeksi kulit yang disebabkan oleh virus dan jamur, tuberkulosa kulit.",Berlico Mulia Farma,BPOM: DKL0310804629A1,"Obat Wajib Apotek, Obat ini dapat dibeli dan diserahkan apoteker tanpa resep dengan maksimum 1 Tube. Pembelian melebihi batas ini WAJIB RESEP DOKTER. Hanya ditujukan untuk infeksi pada kulit. Hindari kontak dengan mata. Tidak efektif untuk infeksi kulit yang disebabkan oleh jamur atau virus. Jika superinfeksi dan atau iritasi kulit terjadi, segera hentikan pemakaian obat. Pengobatan jangka panjang."
Ketricin Orabase 0.1% Salep 5 g,Rp62.700 - Rp75.500,Salep dioleskan pada bagian mukosa mulut atau gusi yang luka/radang,"KETRICIN ORABASE 0.1% SALEP mengandung Triamcinolone asetonida yang berguna untuk membantu mengobati masalah alergi dan inflamasi/peradangan.Triamcinolone asetonida merupakan kortikosteroid terfluorinasi sintetik yang poten. Kortikosteroid pada penggunaan topikal memiliki efek antiinflamasi, antipruritic, dan vasokonstriktor. Kortikosteroid berdifusi melalui membrane sel dan membentuk kompleks dengan reseptor sitoplasmik spesifik. Kompleks ini masuk ke inti sel berikatan dengan DNA dan stimulasi mRNA dan sintesis protein, yaitu berbagai enzim penghambat yang bertanggung jawab untuk efek antiinflamasi pada kortikosteroid topikal. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Oleskan salep pada mukosa mulut 2-3 x sehari, maximum pemakaian 7 hari","Perubahan metabolisme glukosa, katabolisme protein, tukak peptik aktif",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Lesi akut dan khronik pada mukosa rongga mulut, seperti : luka2, peradangan ulseratif/disertai luka & akibat pemakaian gigi palus (denture stomatitis), Gingivitis Deskuamatif, Likhen Planus Erosif, lesi mukosa akibat trauma","Dus, Tube @ 5 g",Triamcinolone acetonide 0.1%,"TB kulit, infeksi jamur, virus (herpes simpleks dan varisela), dan infeksi bakteri pada rongga mulut dan tenggorkan yang tidak mendapat terapi anti-infeksi yang tepat",Ferron Par Pharmaceutical,BPOM: DKL0534602430A1,"Obat Wajib Apotek, Obat ini dapat dibeli dan diserahkan apoteker tanpa resep dengan maksimum 1 Tube. Pembelian melebihi batas ini WAJIB RESEP DOKTER. Supresi adrenal selama penggunaan jangka panjang atau pada penggunaan perban/plester/dibalut. Pertumbuhan berlebihan dari mikroorganisme pada penggunaan jangka panjang dan pada area luas. Hamil Kategori kehamilan : C"
Wardah White Secret Brightening Eye Cream 10 ml,Rp66.500 - Rp92.100,Oleskan pada kulit sekitar mata dua kali sehari setelah membersihkan wajah,"WARDAH WHITE SECRET BRIGHTENING EYE CREAM merupakan krim perawatan kulit sekitar mata dengan kandungan White-Adenosine Complex, Vitamin B3, Hyaluronic Acid. Kandungan White-Adenosine Complex pada produk ini digunakan untuk membantu menyamarkan kantung mata dan lingkaran hitam, serta membuat kulit di sekitar mata lebih cerah dan segar. Vitamin B3 membantu membuat kulit cerah secara optimal, dan Hyaluronic Acid untuk melembabkan kulit sekitar mata serta menjaga keseimbangannya sehingga elastisitas kulit tetap terjaga.",,,Produk Konsumen,"Sebagai krim mata untuk membantu menyamarkan kantung mata dan lingkaran hitam, serta membuat kulit di sekitar mata lebih segar.","Dus, tube @ 10 ml",,,Paragon Technology and Innovation,BPOM: NA18170103883,
Itraconazole 100 mg 10 Kapsul,Rp46.100 - Rp69.000,Minum obat segera setelah makan,"ITRACONAZOLE 100 MG KAPSUL adalah obat antifungal turunan triazol, yang bekerja dengan cara menghambat aktivitas CYP450 jamur, sehingga menurunkan biosintesis ergosterol dan menghambat pembentukan membran sel jamur. Obat ini digunakan untuk mengobati berbagai infeksi jamur, terutama infeksi jamur sistemik seperti aspergillosis, kandidiasis, kriptokokosis di mana obat antijamur lain tidak lagi efektif. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Kandidiasis: 1-2 kapsul 1 x per hari selama 3-7 minggu. Dalam kasus invasif dosis ditingkatkan menjadi 2 x per hari. Sporotrikosis: 1 kapsul, 1 x per hari selama 3 bulan. Parakoksidiodomikosis: 1 kapsul, 1 x per hari selama 6 bulan. Kandidiasis vaginal: 2 kapsul, 2x per hari selama 1 hari. Tinea corporis : 1 kapsul, 1 x per hari selama 15 hari Tinea pedis : 1 kapsul, 1 x per hari selama 30 hari","Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Mual, nyeri abdomen, sakit kepala, pusing, dispepsia, pruritus, ruam kulit, urtikuria, angioedema, peningkatan reversibel enzim hati, sindrom steven-jhonson hipokalimea, edema, hepatitis, kerontokan rambut, neuropati, perifer.",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Dermatomiosis, kandidiasis, mikosis sistemik, Tinea corporis, Tinea pidea, Tinea kapitis","Dus, 3 Strip @ 10 Kapsul",Itraconazole 100 mg,"Hamil, hipersensitif terhadap Itraconazole, gangguan ginjal berat",Generic Manufacturer,BPOM: GKL0402337001A1* *) Obat ini merupakan obat Generik. Nomor Registrasi dapat berbeda sesuai dengan ketersediaan stock Apotek.,"HARUS DENGAN RESEP DOKTER. Hati-hati penggunaan pada pasien dengan faktor risiko CHF (misalnya penyakit iskemik atau katup, gangguan edema, gagal ginjal, PPOK), penurunan keasaman lambung (misalnya aklorhidria), infeksi jamur sistemik yang mengancam jiwa, cystic fibrosis, atau pasien dengan gangguan sistem imun (misalnya neutropenia, AIDS, pasien transplantasi organ). Pemberian bersama dengan penghambat saluran Ca atau obat-obatan yang mengurangi keasaman lambung. Gangguan ginjal dan hati. Lansia. Kehamilan (infeksi yang mengancam jiwa) dan menyusui. Kategori kehamilan : Kategori C: Mungkin berisiko. Obat digunakan dengan hati-hati apabila besarnya manfaat yang diperoleh melebihi besarnya risiko terhadap janin. Penelitian pada hewan uji menunjukkan risiko terhadap janin dan belum terdapat penelitian langsung terhadap wanita hamil."
Redoxon 2 Tablet,Rp9.800 - Rp9.900,Larutkan dalam segelas air dan tunggu sampai benar-nemar larut,REDOXON DOUBLE ACTION merupakan suplemen yang mengandung kombinasi vitamin dan mineral yang berguna sebagai suplementasi Vitamin C dan Zinc untuk membantu memelihara daya tahan tubuh.,Dewasa dan anak-anak di atas 12 tahun: 1 tablet effervescent per hari.,"Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis.",Vitamin & Suplemen,Suplementasi Vitamin C dan Zinc untuk membantu memelihara daya tahan tubuh.,Strip @ 2 Tablet effervescent,Setiap tablet effervescent mengandung: Vitamin C 1000 mg dan Zinc 10 mg.,Jangan digunakan pada penderita Fenilketonuria dan wanita hamil dengan kadar fenilalanin tinggi. Produk ini tidak boleh digunakan oleh bayi dibawah 1 tahun.,Bayer Indonesia,BPOM: SD161548931,"Produk ini mengandung fenilalanin dan acesulfame, jangan digunakan pada penderita Fenilketonuria dan wanita hamil dengan kadar fenilalanin tinggi. Produk ini tidak boleh digunakan oleh bayi dibawah 1 tahun. Jauhkan dari jangkauan anak-anak. Tutuplah tube dengan rapat dan simpan di tempat kering, di bawah suhu 30 C."
Hylo Comod Lubricating Eye Drops 10 ml,Rp244.100 - Rp244.200,"HYLO-COMOD harus digunakan sesuai instruksi yang diberikan oleh dokter atau spesialis lensa kontak anda. Umumnya dapat digunakan 3 kali sehari, 1 tetes pada setiap mata, jika perlu dapat digunakan lebih sering. Jika anda sangat sering menggunakan HYLO-COMOD (misalnya lebih dari 10 kali per hari), silahkan konsultasikan dengan spesialis mata. HYLO-COMOD cocok untuk penggunaan jangka panjang. Jika keluhan berlanjut, konsultasikan ke spesialis mata.","Tetes mata steril dan tanpa pengawet, mengandung 1mg/mL sodium hyaluronate, bufer sitrat, sorbitol dan air.","3 kali sehari, 1 tetes pada setiap mata","Belum ada efek samping yang dilaporkan. Jika terjadi efek samping yang tidak diinginkan, hentikan penggunaan dan segera hubungi dokter.",Alat Kesehatan & Medis Habis Pakai,Tetes mata yang penggunaannya dengan lensa kontak untuk melembabkan pada kondisi mata pedih dan meningkatkan lubrikan permukaan bola mata yang kering.,Botol @ 10 ml,"Mengandung 1 mg/ml sodium hyaluronate, buffer sitrat, sorbitol, dan air",HYLO-COMOD tidak boleh digunakan jika anda hipersensitif terhadap salah satu komponen,Konimex,Kemenkes RI: AKL21204716715,"Jika menggunakan tetes mata yang lain, maka harus ada jeda minimal 30 menit dan Hylo-Comod harus digunakan terakhir. Sedangkan jika bentuknya adalah salep mata, maka salep mata digunakan minimal 30 menit sesudah menggunakan Hylo-Comod. Untuk menghindari reaksi inkompatibilitas yang mungkin terjadi karena interaksi antara produk perawatan lensa kontak dan Hylo-Comod, direkomendasikan untuk memasang lensa kontak, tunggu sekitar 30 menit, lalu tetesi tetes mata. Sesuai pengetahuan hingga saat ini, Hylo-Comod dapat digunakan pada anak, wanita hamil, dan menyusui."
Mederma PM Gel 20 g,Rp235.000 - Rp280.600,"Oleskan MEDERMA dari bagian pusat scar, ratakan ke arah luar scar.",Mederma PM Cream 20 g merupakan cream yang digunakan untuk memperbaiki struktur kuit pada jaringan parut serta dapat digunakan untuk mengurangi kemerahan pada bekas luka.,1 x sehari di waktu malam,,Produk Konsumen,"Membantu mengurangi kemerahan dan menjadikan jaringan parut lebih halus, lebih lembut, dan lebih elastis. Serta menyamarkan bekas luka dengan penggunaan sehari sekali saat malam.",Tube 20 gram,Cepalin 1% (Extract Allium Cepa),tidak untuk luka terbuka,Combiphar,BPOM: NC16220100007,"Hindarkan kontak dengan mata, Jangan dioleskan pada luka terbuka. Bila terjadi iritasi, hentikan pemakaian, Jauhkan dari jangkauan anak-anak."
Epexol Drops 20 ml,Rp47.800 - Rp57.200,Berikan sesudah makan,EPEXOL DROPS merupakan obat batuk yang mengandung Ambroxol hydrochloride. Ambroxol adalah agen mukolitik yang bekerja dengan cara meningkatkan sekresi saluran pernapasan dengan meningkatkan produksi surfaktan paru dan merangsang aktivitas silia dan menghasilkan peningkatan pembersihan mukosiliar serta peningkatan sekresi cairan yang memfasilitasi pengeluaran dan meredakan batuk. Obat ini digunakan sebagai sekretolitik pada gangguan saluran nafas akut dan kronis khususnya pada eksaserbasi bronkitis kronis dan bronkitis asmatik dan asma bronkial. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.,"PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Anak usia <2 tahun: 1ml (20 tetes), 2 kali sehari. Anak usia 2-5 tahun: 1ml (20 tetes), 3 kali sehari.","Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Mual, muntah, diare, dispepsia, mulut atau tenggorokan kering, sakit perut, mulas, hipoestesia oral atau faring, dysgeusia. Berpotensi Fatal: Jarang, reaksi anafilaksis (misalnya syok anafilaksis, angioedema, ruam, urtikaria, pruritus).",Obat Keras (Merah),INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Sebagai sekretolitik pada gangguan saluran nafas akut dan kronis khususnya pada eksaserbasi bronkitis kronis dan bronkitis asmatik dan asma bronkial.,"Dus, Botol @ 20 ml",Per mL : Ambroxol HCl 15 mg,Hipersensitivitas,Sanbe Farma,BPOM: DKL1022248336A1,"HARUS DENGAN RESEP DOKTER. Hati-hati penggunaan pada pasien dengan tukak lambung atau duodenum, diskinesia silia, dan kondisi bronkial, Gangguan ginjal dan hati, Anak-anak, ibu hamil dan menyusui. Kategori kehamilan : Kategori C: Mungkin berisiko. Obat digunakan dengan hati-hati apabila besarnya manfaat yang diperoleh melebihi besarnya risiko terhadap janin. Penelitian pada hewan uji menunjukkan risiko terhadap janin dan belum terdapat penelitian langsung terhadap wanita hamil."
Vometron Sirup 50 ml,Rp120.100 - Rp125.200,Diberikan sebelum atau sesudah makan.,"Vometron mengandung ondansentron, dimana merupakan obat antiemetik yang digunakan untuk meredakan mual dan muntah akibat kemoterapi serta pencegahan mual dan muntah paska operasi. Ondansetron bekerja sebagai antagonis reseptor 5-HT3 yang memblok serotonin pada Chemoreceptor Trigger Zone (CTZ). Pemblokan ini menyebabkan efek antiemetik (anti mual dan muntah). Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Tab Pencegahan mual & muntah pasca op Awal 1 tab 1 jam sblm anestesi, diikuti dg 2 dosis dr 1 tab tiap 8 jam. Mual & muntah yg diinduksi oleh radioterapi 8 mg per oral tiap 8 jam. Dosis pertama hrs diminum 1-2 jam sblm radioterapi. Inj Pengobatan mual & muntah pasca op 4 mg IM sebagai dosis tunggal atau scr inj IV lambat. Mual & muntah akibat kemoterapi yg sangat emetogenik Awal 8 mg scr inj IV lambat atau 15 mnt scr infus segera sblm kemoterapi, lalu dilanjutkan dg infus IV 1 mg/jam selama 2 jam. Atau 2 dosis dr 8 mg scr inj IV lambat atau infus selama 15 mnt dg selang waktu 4 jam. Kedua rejimen ini dilanjutkan dg pemberian 8 mg per oral tiap 12 jam selama 5 hr. Mual & muntah akibat kemoterapi yg kurang emetogenik 8 mg scr inj IV lambat atau infus selama 15 mnt segera sblm kemoterapi atau 8 mg per oral 1-2 jam sblm kemoterapi yg dilanjutkan dg 8 mg per oral tiap 8 jam selama 5 hr.","Sakit kepala, sensasi hangat dan kemerahan pada wajah, konstipasi, ruam kulit,peningkatan sementara kadar transaminase dalam serum",Obat Keras (Merah),"Mual dan muntah yang diinduksi obat kemoterapi sitotoksik, radioterapi, atau pasca operasi.",Sirup 50 ml X 1,Per 5 mL: Ondansetron 4 mg,-,Mahakam Beta Farma,BPOM: DKL1113706137A1,HARUS DENGAN RESEP DOKTER. Hamil dan laktasi.
Medscab Cream 30 g,Rp88.500 - Rp94.100,di oleskan pada bagian yang sakit,MEDSCAB CREAM adalah sediaan krim yang mengandung permethrin. Permetrin adalah skabisida piretroid dan pedikulisida yang bekerja dengan cara mengganggu masuknya ion Na melalui saluran membran sel saraf pada parasit yang menyebabkan repolarisasi tertunda dan akhirnya kelumpuhan dan kematian pada parasit. Krim ini digunakan untuk mengobati skabies. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.,"PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Skabies (kudis) : Oleskan tipis-tipis ke seluruh kulit tubuh. Bilas setelah 8-24 jam. Bila tangan dicuci dengan sabun dan air dalam 8 jam setelah aplikasi, krim harus diulaskan ulang.","Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Reaksi hipersensitivitas, dapat memperburuk gejala sementara, seperti edema, yang menyertai kudis (krim 5%). Gangguan umum dan kondisi tempat pemberian: Reaksi di tempat aplikasi (misalnya rasa terbakar sementara, mati rasa, perih atau kesemutan). Gangguan sistem saraf: Paraestesia. Gangguan kulit dan jaringan subkutan: Pruritus, eritema, kulit kering, ruam.",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Pengobatan untuk scabies (kudis), tungau, kutu rambut, dan kutu badan.","Dus, Tube @ 30 g",Permethrin 5%,"Hipersensitif terhadap permethrin. pyrethroid synthesa, atau pyrethrins.",Surya Dermato Medica Laboratories,BPOM: DKL1628605829A1,"HARUS DENGAN RESEP DOKTER. Scabies biasanya diikuti gejala rasa gatal, eritema (bercak kemerahan), dan urticaria. Gejala-gejala tersebut tidak langsung hilang dengan pemakaian Medscab Cream. Hindari kontak dengan mata. Perhatian khusus pada: Anak-anak (=2 bulan) dan lanjut usia. Kehamilan dan menyusui. Kategori kehamilan: Kategori B: Mungkin dapat digunakan oleh wanita hamil. Penelitian pada hewan uji tidak memperlihatkan ada nya risiko terhadap janin, namun belum ada bukti penelitian langsung terhadap wanita hamil."
Wellness Bee Complete 30 SoftGel,Rp292.500 - Rp455.900,Sesudah makan,"Wellness Bee Complete 30 SoftGel merupakan kombinasi antara Bee Pollen, Propolis, Royal Jelly dan Madu yang mengandung vitamin, mineral, asam amino, enzim bioflavonoid, essential fatty acid, dll sehingga dianggap sebagai makanan kesehatan yang paling sempurna dan sangat efektif untuk meningkatkan stamina dan imunitas tubuh.","1 x sehari, 1 kapsul",,Herbal,"Mengatasi kelelahan dan kelemahan tubuh Melancarkan aliran darah ke seluruh tubuh Mencukupi kekurangan gizi Membantu memperbaiki jaringan dan fungsi tubuh yang mulai / sudah rusak, berperan sebagai anti aging, membantu penyembuhan penyakit kulit, pencernaan, batuk & flu, tenggorokan, PMS, alergi, dll Memperbaiki metabolisme tubuh Berperan sebagai antibiotik, antivirus & anti radang",Botol @ 30 kapsul,"ZINC 25 mg, CHROMIUM 25 mcg",,Natural Nutrindo,BPOM: TI104342001,
