id;types;prepro_komposisi;cleaned_names;summary;;;
2818;tablet;paracetamol;panadol anakanak kunyah;panadol anakanak kunyah tablet paracetamol obat meredakan sakit sakit kepala , sakit gigi menurunkan demam menyertai flu demam imunisasi vaksinasi;;;
2819;tablet;paracetamol;panadol anakanak kunyah;panadol anakanak kunyah tablet paracetamol obat meredakan sakit sakit kepala , sakit gigi menurunkan demam menyertai flu demam imunisasi vaksinasi;;;
2820;tablet;paracetamol;panadol anakanak kunyah;panadol anakanak kunyah tablet paracetamol obat meredakan sakit sakit kepala , sakit gigi menurunkan demam menyertai flu demam imunisasi vaksinasi;;;
2821;suspensi;paracetamol;praxion forte;praxion forte suspensi paracetamol menurunkan demam , meredakan nyeri sakit kepala sakit gigi;;;
2822;suspensi;paracetamol;praxion forte;praxion forte suspensi paracetamol menurunkan demam , meredakan nyeri sakit kepala sakit gigi;;;
2823;suspensi;paracetamol;praxion forte;praxion forte suspensi paracetamol menurunkan demam , meredakan nyeri sakit kepala sakit gigi;;;
2824;suspensi;paracetamol;praxion forte;praxion forte suspensi paracetamol menurunkan demam , meredakan nyeri sakit kepala sakit gigi;;;
2825;;;;;;;
2826;sirup;paracetamol;ottopan;ottopan sirup paracetamol meringankan sakit sakit kepala , sakit gigi , menurunkan demam;;;
2827;sirup;paracetamol;ottopan;ottopan sirup paracetamol meringankan sakit sakit kepala , sakit gigi , menurunkan demam;;;
2828;sirup;paracetamol;panadol anakanak;panadol anakanak sirup paracetamol obat meredakan sakit sakit kepala , sakit gigi menurunkan demam menyertai flu demam imunisasi vaksinasi;;;
2829;sirup;paracetamol;panadol anakanak;panadol anakanak sirup paracetamol obat meredakan sakit sakit kepala , sakit gigi menurunkan demam menyertai flu demam imunisasi vaksinasi;;;
2830;sirup;paracetamol;panadol anakanak;panadol anakanak sirup paracetamol obat meredakan sakit sakit kepala , sakit gigi menurunkan demam menyertai flu demam imunisasi vaksinasi;;;
2831;sirup;paracetamol;panadol anakanak;panadol anakanak sirup paracetamol obat meredakan sakit sakit kepala , sakit gigi menurunkan demam menyertai flu demam imunisasi vaksinasi;;;
2832;sirup;paracetamol;panadol anakanak;panadol anakanak sirup paracetamol obat meredakan sakit sakit kepala , sakit gigi menurunkan demam menyertai flu demam imunisasi vaksinasi;;;
2833;sirup;paracetamol;panadol anakanak;panadol anakanak sirup paracetamol obat meredakan sakit sakit kepala , sakit gigi menurunkan demam menyertai flu demam imunisasi vaksinasi;;;
2834;suspensi;paracetamol;praxion;praxion suspensi paracetamol menurunkan demam , meredakan nyeri sakit kepala sakit gigi;;;
2835;suspensi;paracetamol;praxion;praxion suspensi paracetamol menurunkan demam , meredakan nyeri sakit kepala sakit gigi;;;
2836;suspensi;paracetamol;praxion;praxion suspensi paracetamol menurunkan demam , meredakan nyeri sakit kepala sakit gigi;;;
2837;suspensi;paracetamol;praxion;praxion suspensi paracetamol menurunkan demam , meredakan nyeri sakit kepala sakit gigi;;;
2838;tetes;paracetamol;apetics;apetics tetes paracetamol menurunkan demam menyertai flu demam vaksinasi imunsasi  meringankan sakit sakit kepala sakit gigi;;;
2839;suspensi;paracetamol;naprex;naprex suspensi paracetamol untuk menurunkan demam meringankan sakit sakit kepala sakit gigi;;;
2840;tetes;paracetamol;ottopan;ottopan tetes paracetamol meringankan sakit sakit kepala , sakit gigi , menurunkan demam;;;
2841;tetes;paracetamol;praxion;praxion tetes paracetamol meredakan demam , meredakan sakit sakit kepala sakit gigi;;;
2842;tetes;paracetamol;praxion;praxion tetes paracetamol meredakan demam , meredakan sakit sakit kepala sakit gigi;;;
2843;;;;;;;
2844;suspensi;paracetamol;apetic forte;apetic forte suspensi paracetamol menurunkan demam , dmam menyertai flu deman setalah vaksinasi imunisasi  meringankan sakit sakit kepala sakit gigi;;;
2845;suspensi;paracetamol;apetic;apetic suspensi paracetamol menurunkan demam , dmam menyertai flu deman setalah vaksinasi imunisasi  meringankan sakit sakit kepala sakit gigi;;;
2846;tablet;acetylsalicylic acid;bodrexin kunyah;bodrexin kunyah tablet acetylsalicylic acid menurunkan demam meringankan nyeri anak - anak;;;
2847;tablet;acetylsalicylic acid;bodrexin kunyah;bodrexin kunyah tablet acetylsalicylic acid menurunkan demam meringankan nyeri anak - anak;;;
2848;tablet;acetylsalicylic acid;bodrexin kunyah;bodrexin kunyah tablet acetylsalicylic acid menurunkan demam meringankan nyeri anak - anak;;;
2849;tablet;acetylsalicylic acid;bodrexin kunyah;bodrexin kunyah tablet acetylsalicylic acid menurunkan demam meringankan nyeri anak - anak;;;
2850;tablet;acetylsalicylic acid;bodrexin kunyah;bodrexin kunyah tablet acetylsalicylic acid menurunkan demam meringankan nyeri anak - anak;;;
2851;tablet;acetylsalicylic acid;bodrexin kunyah;bodrexin kunyah tablet acetylsalicylic acid menurunkan demam meringankan nyeri anak - anak;;;
2852;suspensi;paracetamol;bodrexin demam forte rasa jeruk;bodrexin demam forte rasa jeruk suspensi paracetamol bodrexin demam forte dikenal dipercaya generasi generasi menurunkan panas demam menyertai flu , mengurangi sakit sakit kepala , sakit gigi sakit otot anak 6;;;
2853;suspensi;ibuprofen;hufagrip tmp;hufagrip tmp suspensi ibuprofen menurunkan panas demam , meringankan nyeri ringan , sakit gigi , sakit kepala;;;
2854;suspensi;ibuprofen;hufagrip tmp;hufagrip tmp suspensi ibuprofen menurunkan panas demam , meringankan nyeri ringan , sakit gigi , sakit kepala;;;
2855;suspensi;ibuprofen micronized;hufagrip tmp;hufagrip tmp suspensi ibuprofen micronized menurunkan panas demam , meringankan nyeri ringan , sakit gigi , sakit kepala;;;
2856;tablet;acetylsalicylic acid;inzana kunyah;inzana kunyah tablet acetylsalicylic acid meringankan gejala flu demam , sakit kepala , hidung tersumbat , bersin - bersin;;;
2857;tablet;acetylsalicylic acid;inzana kunyah;inzana kunyah tablet acetylsalicylic acid meringankan gejala flu demam , sakit kepala , hidung tersumbat , bersin - bersin;;;
2858;;;;;;;
2859;suspensi;ibuprofen;prosic;prosic suspensi ibuprofen menurunkan demam mengurangi nyeri ringan nyeri sakit kepala , sakit tenggorokan , sakit gigi operasi;;;
2860;suspensi;ibuprofen;prosic;prosic suspensi ibuprofen menurunkan demam mengurangi nyeri ringan nyeri sakit kepala , sakit tenggorokan , sakit gigi operasi;;;
2861;sirup;paracetamol;tempra forte rasa bubblegum;tempra forte rasa bubblegum sirup paracetamol obat meredakan demam , sakit nyeri ringan , sakit kepala sakit gigi , demam imunisasi;;;
2862;sirup;paracetamol;tempra forte rasa strawberry;tempra forte rasa strawberry sirup paracetamol obat meredakan sakit kepala , sakit gigi , sakit otot , nyeri mengganggu menurunkan demam menyertai flu influensa demam vaksinasi;;;
2863;sirup;paracetamol;tempra forte rasa strawberry;tempra forte rasa strawberry sirup paracetamol obat meredakan sakit kepala , sakit gigi , sakit otot , nyeri mengganggu menurunkan demam menyertai flu influensa demam vaksinasi;;;
2864;sirup;paracetamol;tempra forte rasa strawberry;tempra forte rasa strawberry sirup paracetamol obat meredakan sakit kepala , sakit gigi , sakit otot , nyeri mengganggu menurunkan demam menyertai flu influensa demam vaksinasi;;;
2865;sirup;paracetamol;tempra forte rasa strawberry;tempra forte rasa strawberry sirup paracetamol obat meredakan sakit kepala , sakit gigi , sakit otot , nyeri mengganggu menurunkan demam menyertai flu influensa demam vaksinasi;;;
2866;sirup;paracetamol;afidol;afidol sirup paracetamol obat meringankan sakit sakit kepala , sakit gigi menurunkan demam;;;
2867;;;;;;;
2868;sirup;paracetamol;analpim;analpim sirup paracetamol obat meringankan sakit sakit kepala , sakit gigi menurunkan demam;;;
2869;sirup;paracetamol;analpim;analpim sirup paracetamol obat meringankan sakit sakit kepala , sakit gigi menurunkan demam;;;
2870;suspensi;ibuprofen;axofen;axofen suspensi ibuprofen ;;;
2871;suspensi;paracetamol;biogesic anak;biogesic anak suspensi paracetamol demam , dismenore , gangguan muskuloskeletal  sakit kepala , sakit gigi , artritis;;;
2872;;;;;;;
2873;suspensi;ibuprofen;bodrexin ibp;bodrexin ibp suspensi ibuprofen ;;;
2874;tablet;acetylsalicylic acid;contrexyn kunyah;contrexyn kunyah tablet acetylsalicylic acid demam sakit nyeri berkaitan flu , masuk angin vaksinasi;;;
2875;tablet;acetylsalicylic acid;contrexyn kunyah;contrexyn kunyah tablet acetylsalicylic acid demam sakit nyeri berkaitan flu , masuk angin vaksinasi;;;
2876;tablet;acetylsalicylic acid;contrexyn kunyah;contrexyn kunyah tablet acetylsalicylic acid demam sakit nyeri berkaitan flu , masuk angin vaksinasi;;;
2877;tablet;acetylsalicylic acid;contrexyn kunyah;contrexyn kunyah tablet acetylsalicylic acid demam sakit nyeri berkaitan flu , masuk angin vaksinasi;;;
2878;tetes;paracetamol;contrexyn demam;contrexyn demam tetes paracetamol ;;;
2879;tetes;paracetamol;contrexyn demam;contrexyn demam tetes paracetamol ;;;
2880;sirup;paracetamol;contrexyn demam rasa jeruk;contrexyn demam rasa jeruk sirup paracetamol ;;;
2881;sirup;paracetamol;contrexyn demam rasa jeruk;contrexyn demam rasa jeruk sirup paracetamol ;;;
2882;suspensi;paracetamol;cupanol;cupanol suspensi paracetamol menurunkan demam , meredakan sakit kepala , sakit gigi nyeri ringan , meredakan nyeri arthritis ringan;;;
2883;;;;;;;
2884;;;;;;;
2885;suspensi;ibuprofen;dolofen f;dolofen f suspensi ibuprofen ;;;
2886;suspensi;ibuprofen;dolofen f;dolofen f suspensi ibuprofen ;;;
2887;suspensi;paracetamol;dumin forte;dumin forte suspensi paracetamol ;;;
2888;suspensi;paracetamol;dumin forte;dumin forte suspensi paracetamol ;;;
2889;suspensi;paracetamol;dumin forte;dumin forte suspensi paracetamol untuk meringankan sakit sakit kepala , sakit gigi menurunkan demam;;;
2890;suspensi;paracetamol;dumin forte;dumin forte suspensi paracetamol untuk meringankan sakit sakit kepala , sakit gigi menurunkan demam;;;
2891;;;;;;;
2892;;;;;;;
2893;sirup;paracetamol;ekacetol;ekacetol sirup paracetamol ;;;
2894;sirup;paracetamol;emturnas;emturnas sirup paracetamol ;;;
2895;tetes;paracetamol;emturnas;emturnas tetes paracetamol untuk meringankan sakit sakit kepala , sakit gigi menurunkan demam;;;
2896;tetes;paracetamol;erlamol;erlamol tetes paracetamol meredakan sakit kepala , sakit gigi , nyeri otot , menurunkan demam menyertai flu paska vaksinasi;;;
2897;sirup;paracetamol;erlamol;erlamol sirup paracetamol meredakan sakit kepala , sakit gigi , nyeri otot , menurunkan demam menyertai flu paska vaksinasi;;;
2898;sirup;paracetamol;erlamol;erlamol sirup paracetamol meredakan sakit kepala , sakit gigi , nyeri otot , menurunkan demam menyertai flu paska vaksinasi;;;
2899;tetes;paracetamol;erphamol;erphamol tetes paracetamol demam , sakit kepala , sakit gigi , dismenore , nyeri otot;;;
2900;tetes;paracetamol;erphamol;erphamol tetes paracetamol demam , sakit kepala , sakit gigi , dismenore , nyeri otot;;;
2901;sirup;paracetamol;erphamol;erphamol sirup paracetamol demam , sakit kepala , sakit gigi , dismenore , nyeri otot;;;
2902;sirup;paracetamol;erphamol;erphamol sirup paracetamol demam , sakit kepala , sakit gigi , dismenore , nyeri otot;;;
2903;suspensi;ibuprofen;farsifen forte;farsifen forte suspensi ibuprofen efek antiinflamasi analgesik meringankan gejala rematik tulang , sendi , non sendi , trauma otot muskuloskeletal  efek analgesik meringankan nyeri dismenore primer , sakit kepala , pencabutan gigi nyeri operasi;;;
2904;sirup;paracetamol;fasgo;fasgo sirup paracetamol ;;;
2905;sirup;paracetamol;fasgo forte;fasgo forte sirup paracetamol fasgo forte sirup 60 ml meringankan nyeri , sakit kepala , sakit gigi , menurunkan demam;;;
2906;sirup;paracetamol;fasgo forte;fasgo forte sirup paracetamol fasgo forte sirup 60 ml meringankan nyeri , sakit kepala , sakit gigi , menurunkan demam;;;
2907;tetes;paracetamol;fasidol drop;fasidol drop tetes paracetamol nyeri demam  sakit kepala , sakit gigi , artritis nyeri reumatik;;;
2908;sirup;paracetamol;fasidol forte;fasidol forte sirup paracetamol mengurangi sakit sakit kepala , sakit gigi , nyeri operasi , menurunkan panas influenza vaksinasi;;;
2909;sirup;paracetamol;fasidol;fasidol sirup paracetamol mengurangi sakit sakit kepala , sakit gigi , nyeri operasi , menurunkan panas influenza vaksinasi;;;
2910;suspensi;ibuprofen;febryn;febryn suspensi ibuprofen ;;;
2911;suspensi;ibuprofen;fenatic;fenatic suspensi ibuprofen ;;;
2912;suspensi;ibuprofen;fenatic;fenatic suspensi ibuprofen ;;;
2913;sirup;paracetamol;fermol demam anak rasa anggur;fermol demam anak rasa anggur sirup paracetamol untuk meredakan demam , sakit nyeri ringan , sakit kepala sakit gigi , demam imunisasi petunjuk dokter;;;
2914;sirup;paracetamol;fermol demam anak rasa jeruk;fermol demam anak rasa jeruk sirup paracetamol untuk meredakan demam , sakit nyeri ringan , sakit kepala sakit gigi , demam imunisasi petunjuk dokter;;;
2915;sirup;paracetamol;fermol demam anak rasa stroberi;fermol demam anak rasa stroberi sirup paracetamol untuk meredakan demam , sakit nyeri ringan , sakit kepala sakit gigi , demam imunisasi petunjuk dokter;;;
2916;sirup;paracetamol;glocetamol forte;glocetamol forte sirup paracetamol ;;;
2917;tetes;paracetamol;grafadon;grafadon tetes paracetamol pengobatan menurunkan demam pereda nyeri bayi anak;;;
2918;tetes;paracetamol;grafadon;grafadon tetes paracetamol pengobatan menurunkan demam pereda nyeri bayi anak;;;
2919;sirup;paracetamol;grafadon;grafadon sirup paracetamol meringankan nyeri sakit kepala , sakit gigi meringankan demam;;;
2920;sirup;paracetamol;holidon;holidon sirup paracetamol meringankan sakit demam , skit kepala , sakit gigi , menurunkan demam;;;
2921;sirup;paracetamol (micronized);hufagesic;hufagesic sirup paracetamol (micronized) ;;;
2922;sirup;paracetamol;hufagesic;hufagesic sirup paracetamol ;;;
2923;sirup;paracetamol (micronized);hufagesic;hufagesic sirup paracetamol (micronized) menurunkan demam nyeri otot sendi menyertai influenza , vaksinasi penyakit akibat infeksi , sakit kepala , sakit gigi , flu , dysmenorrhoea;;;
2924;sirup;paracetamol;hufagesic;hufagesic sirup paracetamol menurunkan demam nyeri otot sendi menyertai influenza , vaksinasi penyakit akibat infeksi , sakit kepala , sakit gigi , flu , dysmenorrhoea;;;
2925;tetes;paracetamol;hufagesic drop;hufagesic drop tetes paracetamol ;;;
2926;tetes;paracetamol;hufagesic drop;hufagesic drop tetes paracetamol ;;;
2927;sirup;paracetamol;ifitamol rasa strawberry;ifitamol rasa strawberry sirup paracetamol meringankan sakit sakit kepala , sakit gigi menurunkan demam;;;
2928;sirup;paracetamol;ikacetamol;ikacetamol sirup paracetamol demam akibat pilek , flu , bronkhitis , pneumonia , paska vaksinasi , analgetik;;;
2929;suspensi;ibuprofen;insic;insic suspensi ibuprofen ;;;
2930;suspensi;ibuprofen;insic;insic suspensi ibuprofen ;;;
2931;sirup;paracetamol;itamol;itamol sirup paracetamol obat meredakan sakit kepala , sakit gigi , sakit otot , nyeri mengganggu menurunkan demam menyertai flu influensa demam vaksinasi;;;
2932;sirup;paracetamol;itamol;itamol sirup paracetamol obat meredakan sakit kepala , sakit gigi , sakit otot , nyeri mengganggu menurunkan demam menyertai flu influensa demam vaksinasi;;;
2933;sirup;paracetamol;itamol;itamol sirup paracetamol obat meredakan sakit kepala , sakit gigi , sakit otot , nyeri mengganggu menurunkan demam menyertai flu influensa demam vaksinasi;;;
2934;tetes;paracetamol;itamol;itamol tetes paracetamol obat meredakan sakit kepala , sakit gigi , sakit otot , nyeri mengganggu menurunkan demam menyertai flu influensa demam vaksinasi;;;
2935;tetes;paracetamol;itamol;itamol tetes paracetamol obat meredakan sakit kepala , sakit gigi , sakit otot , nyeri mengganggu menurunkan demam menyertai flu influensa demam vaksinasi;;;
2936;sirup;paracetamol;itramol;itramol sirup paracetamol ;;;
2937;sirup;paracetamol;itramol;itramol sirup paracetamol ;;;
2938;tetes;paracetamol;kamolas;kamolas tetes paracetamol demam , nyeri ringan , sakit tidak nyaman akibat pilek , flu , vaksinasi tonsilektomi;;;
2939;sirup;paracetamol;kamolas forte;kamolas forte sirup paracetamol demam , meredakan gejala2 sakit ringan , sakit tidak nyaman akibat pilek , flu , inokulasi , vaksinasi tonsilectomi;;;
2940;sirup;paracetamol;kamolas;kamolas sirup paracetamol meredakan sakit kepala , sakit gigi , nyeri operasi , demam;;;
2941;sirup;paracetamol;kamolas;kamolas sirup paracetamol meredakan sakit kepala , sakit gigi , nyeri operasi , demam;;;
2942;sirup;paracetamol;mirasic;mirasic sirup paracetamol untuk meringankan sakit kepala , pusing , sakit gigi , menurunkan demam , vaksinasi;;;
2943;tetes;ibuprofen;mofen;mofen tetes ibuprofen ;;;
2944;tetes;paracetamol;moretic;moretic tetes paracetamol meredakan sakit kepala , sakit gigi , demam , nyeri pasca vaksinasi;;;
2945;tetes;paracetamol;naprex;naprex tetes paracetamol menurunkan demam mengurangi sakit nyeri;;;
2946;suspensi;ibuprofen;neo linucid;neo linucid suspensi ibuprofen ;;;
2947;tetes;paracetamol;nipe fever;nipe fever tetes paracetamol menurunkan demam , meredakan sakit kepalan sakit gigi;;;
2948;sirup;paracetamol;nipe fever;nipe fever sirup paracetamol obat meredakan sakit kepala , sakit gigi , sakit otot , nyeri mengganggu menurunkan demam menyertai flu influensa demam vaksinasi;;;
2949;sirup;paracetamol;novagesic mgml;novagesic mgml sirup paracetamol membantu meredakan sakit kepala , sakit gigi nyeri ringan demam;;;
2950;sirup;paracetamol;novagesic mgml;novagesic mgml sirup paracetamol membantu meredakan sakit kepala , sakit gigi nyeri ringan demam;;;
2951;suspensi;ibuprofen;novaxifen forte;novaxifen forte suspensi ibuprofen nyeri ringan nyeri penyakit gigi pencabutan gigi , nyeri pasca bedah , sakit kepala , gejala artritis reumatoid , gejala osteoartritis , gejala juvenile artritis reumatoid , menurunkan demam anak;;;
2952;suspensi;ibuprofen;novaxifen;novaxifen suspensi ibuprofen penurun panas , pusing , nyeri , sakit kepala;;;
2953;sirup;ibuprofen;novaxifen;novaxifen sirup ibuprofen penurun panas , pusing , nyeri , sakit kepala;;;
2954;sirup;paracetamol;nufadol;nufadol sirup paracetamol meredakan sakit kepala , mialgia , sakit gigi pilek;;;
2955;sirup;paracetamol;nufadol;nufadol sirup paracetamol meredakan sakit kepala , mialgia , sakit gigi pilek;;;
2956;powder;paracetamol;obat anak sumang rasa anggur;obat anak sumang rasa anggur powder paracetamol meringankan sakit sakit kepala , sakit gigi menurunkan demam;;;
2957;powder;paracetamol;obat anak sumang rasa jeruk;obat anak sumang rasa jeruk powder paracetamol meringankan sakit sakit kepala , sakit gigi menurunkan demam;;;
2958;powder;paracetamol;obat anak sumang rasa jeruk;obat anak sumang rasa jeruk powder paracetamol meringankan sakit sakit kepala , sakit gigi menurunkan demam;;;
2959;powder;paracetamol;obat anak sumang rasa jeruk;obat anak sumang rasa jeruk powder paracetamol meringankan sakit sakit kepala , sakit gigi menurunkan demam;;;
2960;powder;paracetamol;obat anak sumang rasa original;obat anak sumang rasa original powder paracetamol meringankan sakit sakit kepala , sakit gigi menurunkan demam;;;
2961;powder;paracetamol;obat anak sumang rasa original;obat anak sumang rasa original powder paracetamol meringankan sakit sakit kepala , sakit gigi menurunkan demam;;;
2962;powder;paracetamol;obat anak sumang rasa original;obat anak sumang rasa original powder paracetamol meringankan sakit sakit kepala , sakit gigi menurunkan demam;;;
2963;;;;;;;
2964;suspensi;ibuprofen;oraprofen forte;oraprofen forte suspensi ibuprofen ;;;
2965;suspensi;ibuprofen;oraprofen forte;oraprofen forte suspensi ibuprofen ;;;
2966;suspensi;ibuprofen;oraprofen forte;oraprofen forte suspensi ibuprofen ;;;
2967;suspensi;ibuprofen;oraprofen forte;oraprofen forte suspensi ibuprofen ;;;
2968;suspensi;ibuprofen;oraprofen forte;oraprofen forte suspensi ibuprofen ;;;
2969;sirup;paracetamol;pacetik;pacetik sirup paracetamol meringankan sakit sakit kepala , sakit gigi , menurunkan demam;;;
2970;sirup;paracetamol;pacetik;pacetik sirup paracetamol meringankan sakit sakit kepala , sakit gigi , menurunkan demam;;;
2971;tetes;paracetamol;pamol drop;pamol drop tetes paracetamol pereda nyeri penurun demam;;;
2972;tetes;paracetamol;pamol drop;pamol drop tetes paracetamol pereda nyeri penurun demam;;;
2973;enema;paracetamol;paracetamol enema;paracetamol enema enema paracetamol obat meredakan nyeri ringan menurunkan demam;;;
2974;enema;paracetamol;rohto fever patch lembar;rohto fever patch lembar enema paracetamol menurunkan panas , meredakan sakit gigi , pusing , tegang otot;;;
2975;sirup;paracetamol;paraco;paraco sirup paracetamol meringankan sakit kepala , nyeri otot , menurunkan panas;;;
2976;tetes;paracetamol;paramol;paramol tetes paracetamol pengobatan nyeri demam;;;
2977;sirup;paracetamol;paramol;paramol sirup paracetamol pengobatan nyeri demam;;;
2978;sirup;paracetamol;procet;procet sirup paracetamol meringankan sakit demam , skit kepla , sakit gigi , menurunkan demam;;;
2979;sirup;paracetamol;procet;procet sirup paracetamol meringankan sakit demam , skit kepla , sakit gigi , menurunkan demam;;;
2980;;;;;;;
2981;;;;;;;
2982;tetes;paracetamol;pyrex;pyrex tetes paracetamol meredakan nyeri demam , sakit kepala , sakit gigi;;;
2983;sirup;paracetamol;pyridol;pyridol sirup paracetamol sakit gigi , nyeri otot , sakit kepala , demam;;;
2984;suspensi;ibuprofen;repass;repass suspensi ibuprofen menurunkan demam anak - anak meringankan nyeri ringan nyeri dismenore primer nyeri haid , nyeri penyakit gigi pencabutan gigi , nyeri operasi , sakit kepala , gejala nyeri ringan penyakit reumatik tulang sendi sendi terkilir;;;
2985;suspensi;ibuprofen;salfenal forte;salfenal forte suspensi ibuprofen digunakan meringankan gejala - gejala penyakit renatik tulang , sendi otot , membantu meredakan nyeri ringan nyeri haid , sakit gigi , sakit kepala nyeri operasi;;;
2986;suspensi;ibuprofen;salfenal forte;salfenal forte suspensi ibuprofen digunakan meringankan gejala - gejala penyakit renatik tulang , sendi otot , membantu meredakan nyeri ringan nyeri haid , sakit gigi , sakit kepala nyeri operasi;;;
2987;suspensi;ibuprofen;simris;simris suspensi ibuprofen ;;;
2988;suspensi;ibuprofen;simris;simris suspensi ibuprofen ;;;
2989;tetes;paracetamol;termorex baby drop;termorex baby drop tetes paracetamol meringankan sakit sakit kepala , sakit gigi , menurunkan demam;;;
2990;tetes;paracetamol;termorex baby drop;termorex baby drop tetes paracetamol meringankan sakit sakit kepala , sakit gigi , menurunkan demam;;;
2991;sirup;paracetamol;termorex;termorex sirup paracetamol ;;;
2992;sirup;paracetamol;termorex;termorex sirup paracetamol ;;;
2993;sirup;paracetamol;termorex;termorex sirup paracetamol ;;;
2994;sirup;paracetamol;termorex;termorex sirup paracetamol ;;;
2995;sirup;paracetamol;tropigesic;tropigesic sirup paracetamol ;;;
2996;tetes;paracetamol;turpan drop;turpan drop tetes paracetamol membantu menurunkan demam mengurangi sakit , sakit kepala , nyeri otot , nyeri pencabutan gigi pertumbuhan gigi;;;
2997;tetes;paracetamol;turpan drop;turpan drop tetes paracetamol membantu menurunkan demam mengurangi sakit , sakit kepala , nyeri otot , nyeri pencabutan gigi pertumbuhan gigi;;;
2998;tetes;paracetamol;turpas;turpas tetes paracetamol - menurunkan demam , meringankan sakit kepala , meringankan sakit gigi;;;
2999;suspensi;paracetamol;turpas forte;turpas forte suspensi paracetamol menurunkan demam , meringankan sakit sakit kepala sakit gigi;;;
3000;suspensi;paracetamol;turpas;turpas suspensi paracetamol menurunkan demam , meringankan sakit sakit kepala sakit gigi;;;
3001;tetes;paracetamol;xepamol;xepamol tetes paracetamol meredakan demam nyeri nyeri sendi , nyeri telinga , sakit kepala , reumatik , flu infeksi;;;
3002;tetes;paracetamol;xepamol;xepamol tetes paracetamol meredakan demam nyeri nyeri sendi , nyeri telinga , sakit kepala , reumatik , flu infeksi;;;
3003;sirup;paracetamol;zetamol;zetamol sirup paracetamol ;;;
3004;sirup;paracetamol;zetamol;zetamol sirup paracetamol ;;;
3005;;;;;;;
3006;;;;;;;
3007;;;;;;;
3008;;;;;;;
3009;suspensi;sucralfate suspension;inpepsa;inpepsa suspensi sucralfate suspension tukak usus , tukak lambung , gastritis kronis;;;
3010;suspensi;sucralfate suspension;inpepsa;inpepsa suspensi sucralfate suspension tukak usus , tukak lambung , gastritis kronis;;;
3011;suspensi;sucralfate;inpepsa;inpepsa suspensi sucralfate tukak usus , tukak lambung , gastritis kronis;;;
3012;suspensi;sucralfate;inpepsa;inpepsa suspensi sucralfate tukak usus , tukak lambung , gastritis kronis;;;
3013;suspensi;sucralfate suspension;inpepsa;inpepsa suspensi sucralfate suspension sakit maag , tukak usus halus , tukak lambung , gastritis kronis;;;
3014;suspensi;sucralfate suspension;inpepsa;inpepsa suspensi sucralfate suspension sakit maag , tukak usus halus , tukak lambung , gastritis kronis;;;
3015;suspensi;sucralfate;inpepsa;inpepsa suspensi sucralfate sakit maag , tukak usus halus , tukak lambung , gastritis kronis;;;
3016;suspensi;sucralfate;inpepsa;inpepsa suspensi sucralfate sakit maag , tukak usus halus , tukak lambung , gastritis kronis;;;
3017;suspensi;sucralfate;sucralfate;sucralfate suspensi tukak lambung usus , gastritis kronik profilaksis perdarahan gastrointestinal;;;
3018;tablet;ranitidine hydrochloride;ranitidine;ranitidine tablet ranitidine hydrochloride tukak lambung tukak duodenum , refluks esofagitis , dispepsia episodik kronis , tukak akibat ains , tukak duodenum h  pylorus , sindrom zollinger - ellison , kondisi dimana pengurangan asam lambung;;;
3019;tablet;ranitidine hydrochloride;ranitidine;ranitidine tablet ranitidine hydrochloride tukak lambung tukak duodenum , refluks esofagitis , dispepsia episodik kronis , tukak akibat ains , tukak duodenum h  pylorus , sindrom zollinger - ellison , kondisi dimana pengurangan asam lambung;;;
3020;suspensi;sucralfate;episan;episan suspensi sucralfate terapi jangka pendek tukak duodenum 8 minggu;;;
3021;suspensi;sucralfate;episan;episan suspensi sucralfate terapi jangka pendek tukak duodenum 8 minggu;;;
3022;suspensi;sucralfate;episan;episan suspensi sucralfate terapi jangka pendek tukak duodenum 8 minggu;;;
3023;suspensi;sucralfate;episan;episan suspensi sucralfate terapi jangka pendek tukak duodenum 8 minggu;;;
3024;suspensi;sucralfate;episan;episan suspensi sucralfate terapi jangka pendek tukak duodenum 8 minggu;;;
3025;suspensi;sucralfate;episan;episan suspensi sucralfate terapi jangka pendek tukak duodenum 8 minggu;;;
3026;suspensi;sucralfate;episan;episan suspensi sucralfate terapi jangka pendek tukak duodenum 8 minggu;;;
3027;suspensi;sucralfate;episan;episan suspensi sucralfate terapi jangka pendek tukak duodenum 8 minggu;;;
3028;suspensi;sucralfate;episan;episan suspensi sucralfate terapi jangka pendek tukak duodenum 8 minggu;;;
3029;suspensi;sucralfate;episan;episan suspensi sucralfate terapi jangka pendek tukak duodenum 8 minggu;;;
3030;suspensi;sucralfate;episan;episan suspensi sucralfate terapi jangka pendek tukak duodenum 8 minggu;;;
3031;suspensi;sucralfate;episan;episan suspensi sucralfate terapi jangka pendek tukak duodenum 8 minggu;;;
3032;suspensi;aluminium hydroxide;polysilane;polysilane suspensi aluminium hydroxide obat mengurangi gejala berhubungan kelebihan asam lambung , gastritis , tukak lambung , tukak usus 12 jari , gejala - gejala mual , nyeri lambung , nyeri ulu hati , kembung perasaan penuh lambung;;;
3033;suspensi;aluminium hydroxide;polysilane;polysilane suspensi aluminium hydroxide obat mengurangi gejala berhubungan kelebihan asam lambung , gastritis , tukak lambung , tukak usus 12 jari , gejala - gejala mual , nyeri lambung , nyeri ulu hati , kembung perasaan penuh lambung;;;
